room,type,p23_full,p23_0250,rbf_full,rbf_0250,lin_full,lin_0250,orc_full,orc_0250
L4.50_W4.00_H3.25,interp,0.27049756050109863,0.4463455080986023,0.27173441648483276,0.4139293432235718,0.2660302221775055,0.3997066617012024,0.2972695529460907,0.5011391639709473
L4.40_W4.09_H3.26,interp,,,0.2711634039878845,0.4302945137023926,0.2650209069252014,0.4153934717178345,0.26160383224487305,0.4292852282524109
L3.52_W4.31_H3.40,interp,,,0.25902658700942993,0.38341981172561646,0.25341737270355225,0.3733404576778412,0.2616662085056305,0.387957364320755
L4.82_W3.81_H2.92,interp,,,0.2707514762878418,0.35912030935287476,0.2607897222042084,0.33842378854751587,0.2662425935268402,0.37021011114120483
L4.10_W3.01_H3.93,extrap,0.2684481739997864,0.4227149188518524,0.2793835997581482,0.4579160213470459,0.27297472953796387,0.44576597213745117,0.26569220423698425,0.42163199186325073
L5.94_W4.93_H2.51,extrap,0.250619113445282,0.34223368763923645,0.2521328628063202,0.3434058427810669,0.2509169578552246,0.3387479782104492,0.24650609493255615,0.348869651556015
L5.92_W3.06_H2.55,extrap,0.22998884320259094,0.254636287689209,0.24822454154491425,0.2970443367958069,0.2518477439880371,0.30635595321655273,0.2131240963935852,0.24223080277442932
L5.91_W4.17_H3.72,extrap,0.2785760462284088,0.4424325227737427,0.2702990472316742,0.42960095405578613,0.258553147315979,0.40556496381759644,0.25410324335098267,0.4389377236366272
L3.17_W3.00_H3.49,extrap,0.28025710582733154,0.37038183212280273,0.27236297726631165,0.38653624057769775,0.26673784852027893,0.3736155033111572,0.20614159107208252,0.24170207977294922
L5.99_W3.96_H2.54,extrap,0.2544248700141907,0.3466925621032715,0.2722395062446594,0.3841828405857086,0.2704504132270813,0.37865161895751953,0.2519807517528534,0.35594379901885986
L3.14_W3.08_H2.51,extrap,0.20409716665744781,0.1934380829334259,0.2631450891494751,0.32061532139778137,0.24775975942611694,0.29141950607299805,0.19349509477615356,0.1859567016363144
